n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2025-07-01 11:30:00,61,n,n,n,30,n,n,n,14,n,n,n,82,n,n,n,27,n,n,n,11,n,n,n,40,n,n,n,23,n,n,n,4,n,n,n,30,n,n,n,13,n,n,n,8,n,n,n
2025-07-01 12:00:00,n,n,113.1,VM,n,n,56.1,VM,n,n,19.5,VM,n,n,92.4,VM,n,n,42.3,VM,n,n,18.4,VM,n,n,55.3,VM,n,n,35.7,VM,n,n,15.8,VM,n,n,54.9,VM,n,n,28.4,VM,n,n,14.4,VM
2025-07-01 12:30:00,37,n,n,n,23,n,n,n,11,n,n,n,62,n,n,n,19,n,n,n,14,n,n,n,28,n,n,n,17,n,n,n,6,n,n,n,20,n,n,n,12,n,n,n,6,n,n,n
2025-07-01 13:30:00,35,n,n,n,16,n,n,n,5,n,n,n,49,n,n,n,19,n,n,n,13,n,n,n,27,n,n,n,17,n,n,n,10,n,n,n,30,n,n,n,17,n,n,n,9,n,n,n
2025-07-01 14:30:00,65,n,n,n,25,n,n,n,9,n,n,n,42,n,n,n,20,n,n,n,8,n,n,n,70,n,n,n,20,n,n,n,8,n,n,n,33,n,n,n,18,n,n,n,9,n,n,n
2025-07-01 15:30:00,41,n,n,n,24,n,n,n,12,n,n,n,85,n,n,n,38,n,n,n,13,n,n,n,36,n,n,n,n,n,n,n,10,n,n,n,40,n,n,n,20,n,n,n,13,n,n,n
2025-07-01 16:30:00,55,n,n,n,26,n,n,n,18,n,n,n,58,n,n,n,25,n,n,n,14,n,n,n,n,n,n,n,33,n,n,n,n,n,n,n,39,n,n,n,22,n,n,n,9,n,n,n
2025-07-01 17:30:00,121,n,n,n,55,n,n,n,12,n,n,n,98,n,n,n,50,n,n,n,19,n,n,n,94,n,n,n,56,n,n,n,15,n,n,n,63,n,n,n,22,n,n,n,14,n,n,n
2025-07-01 18:30:00,154,n,n,n,75,n,n,n,17,n,n,n,98,n,n,n,51,n,n,n,18,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,40,n,n,n,18,n,n,n,8,n,n,n
2025-07-01 19:30:00,128,n,n,n,61,n,n,n,19,n,n,n,107,n,n,n,48,n,n,n,16,n,n,n,56,n,n,n,42,n,n,n,18,n,n,n,86,n,n,n,42,n,n,n,23,n,n,n
2025-07-01 20:30:00,159,n,n,n,66,n,n,n,14,n,n,n,109,n,n,n,51,n,n,n,23,n,n,n,60,n,n,n,40,n,n,n,24,n,n,n,61,n,n,n,38,n,n,n,24,n,n,n
2025-07-01 21:30:00,164,n,n,n,76,n,n,n,18,n,n,n,108,n,n,n,53,n,n,n,23,n,n,n,59,n,n,n,41,n,n,n,20,n,n,n,48,n,n,n,29,n,n,n,17,n,n,n
2025-07-01 22:30:00,151,n,n,n,69,n,n,n,17,n,n,n,99,n,n,n,46,n,n,n,20,n,n,n,61,n,n,n,41,n,n,n,23,n,n,n,34,n,n,n,17,n,n,n,14,n,n,n
2025-07-01 23:30:00,80,n,n,n,42,n,n,n,12,n,n,n,78,n,n,n,46,n,n,n,n,n,n,n,41,n,n,n,34,n,n,n,22,n,n,n,48,n,n,n,30,n,n,n,19,n,n,n
2025-07-02 00:30:00,109,n,n,n,52,n,n,n,18,n,n,n,76,n,n,n,n,n,n,n,24,n,n,n,47,n,n,n,33,n,n,n,19,n,n,n,48,n,n,n,22,n,n,n,18,n,n,n
2025-07-02 01:30:00,109,n,n,n,56,n,n,n,13,n,n,n,86,n,n,n,n,n,n,n,20,n,n,n,39,n,n,n,29,n,n,n,19,n,n,n,59,n,n,n,30,n,n,n,13,n,n,n
2025-07-02 02:30:00,83,n,n,n,47,n,n,n,13,n,n,n,75,n,n,n,n,n,n,n,19,n,n,n,36,n,n,n,30,n,n,n,17,n,n,n,52,n,n,n,28,n,n,n,19,n,n,n
2025-07-02 03:30:00,83,n,n,n,54,n,n,n,17,n,n,n,92,n,n,n,n,n,n,n,19,n,n,n,35,n,n,n,29,n,n,n,15,n,n,n,40,n,n,n,25,n,n,n,17,n,n,n
2025-07-02 04:30:00,59,n,n,n,41,n,n,n,19,n,n,n,65,n,n,n,n,n,n,n,16,n,n,n,38,n,n,n,31,n,n,n,19,n,n,n,36,n,n,n,17,n,n,n,17,n,n,n
2025-07-02 05:30:00,48,n,n,n,30,n,n,n,11,n,n,n,63,n,n,n,n,n,n,n,22,n,n,n,36,n,n,n,30,n,n,n,14,n,n,n,41,n,n,n,23,n,n,n,14,n,n,n
2025-07-02 06:30:00,75,n,n,n,42,n,n,n,11,n,n,n,108,n,n,n,n,n,n,n,18,n,n,n,55,n,n,n,39,n,n,n,21,n,n,n,53,n,n,n,29,n,n,n,18,n,n,n
2025-07-02 07:30:00,90,n,n,n,47,n,n,n,17,n,n,n,138,n,n,n,n,n,n,n,24,n,n,n,79,n,n,n,57,n,n,n,18,n,n,n,112,n,n,n,57,n,n,n,17,n,n,n
2025-07-02 08:30:00,71,n,n,n,43,n,n,n,22,n,n,n,112,n,n,n,n,n,n,n,22,n,n,n,106,n,n,n,72,n,n,n,33,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
2025-07-02 09:30:00,36,n,n,n,32,n,n,n,19,n,n,n,64,n,n,n,n,n,n,n,12,n,n,n,55,n,n,n,35,n,n,n,16,n,n,n,31,n,n,n,18,n,n,n,9,n,n,n
2025-07-02 10:30:00,30,n,n,n,25,n,n,n,11,n,n,n,40,n,n,n,20,n,n,n,13,n,n,n,29,n,n,n,24,n,n,n,13,n,n,n,24,n,n,n,11,n,n,n,13,n,n,n
