n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2024-05-01 11:30:00,45,n,n,n,29,n,n,n,14,n,n,n,30.2,n,n,n,13,n,n,n,8,n,n,n,24.5,n,n,n,14,n,n,n,9,n,n,n,24,n,n,n,14,n,n,n,3,n,n,n
2024-05-01 12:00:00,n,n,65.3,VM,n,n,34.5,VM,n,n,13.3,VM,n,n,39.3,VM,n,n,23.8,VM,n,n,13.5,VM,n,n,39.3,VM,n,n,21.9,VM,n,n,12.1,VM,n,n,31.6,VM,n,n,20.7,VM,n,n,7.6,VM
2024-05-01 12:30:00,60,n,n,n,30,n,n,n,13,n,n,n,31.4,n,n,n,14,n,n,n,n,n,n,n,22.6,n,n,n,14,n,n,n,7,n,n,n,31,n,n,n,16,n,n,n,6,n,n,n
2024-05-01 13:30:00,68,n,n,n,35,n,n,n,9,n,n,n,21.1,n,n,n,19,n,n,n,8,n,n,n,13.5,n,n,n,13,n,n,n,8,n,n,n,22,n,n,n,16,n,n,n,3,n,n,n
2024-05-01 14:30:00,64,n,n,n,33,n,n,n,12,n,n,n,25.5,n,n,n,13,n,n,n,19,n,n,n,24.7,n,n,n,16,n,n,n,12,n,n,n,24,n,n,n,14,n,n,n,5,n,n,n
2024-05-01 15:30:00,84,n,n,n,40,n,n,n,14,n,n,n,30.6,n,n,n,23,n,n,n,6,n,n,n,32.4,n,n,n,16,n,n,n,10,n,n,n,23,n,n,n,18,n,n,n,7,n,n,n
2024-05-01 16:30:00,100,n,n,n,52,n,n,n,11,n,n,n,50.1,n,n,n,20,n,n,n,11,n,n,n,30.6,n,n,n,12,n,n,n,9,n,n,n,27,n,n,n,13,n,n,n,5,n,n,n
2024-05-01 17:30:00,82,n,n,n,35,n,n,n,13,n,n,n,64.3,n,n,n,38,n,n,n,13,n,n,n,41.1,n,n,n,22,n,n,n,12,n,n,n,33,n,n,n,16,n,n,n,3,n,n,n
2024-05-01 18:30:00,55,n,n,n,31,n,n,n,11,n,n,n,67.4,n,n,n,36,n,n,n,12,n,n,n,64,n,n,n,33,n,n,n,16,n,n,n,31,n,n,n,22,n,n,n,5,n,n,n
2024-05-01 19:30:00,44,n,n,n,22,n,n,n,8,n,n,n,52.6,n,n,n,30,n,n,n,12,n,n,n,84.5,n,n,n,40,n,n,n,15,n,n,n,34,n,n,n,18,n,n,n,7,n,n,n
2024-05-01 20:30:00,70,n,n,n,38,n,n,n,16,n,n,n,46.9,n,n,n,25,n,n,n,12,n,n,n,85.5,n,n,n,50,n,n,n,32,n,n,n,36,n,n,n,23,n,n,n,9,n,n,n
