Data de Medição,VALE - ITABIRA,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
2024-08-01 14:30:00,26,n,n,n,16,n,n,n,9,n,n,n,19,n,n,n,16,n,n,n,9,n,n,n,19,n,n,n,19,n,n,n,5,n,n,n,28,n,n,n,16,n,n,n,11,n,n,n
2024-08-01 15:30:00,43,n,n,n,22,n,n,n,11,n,n,n,23.1,n,n,n,22,n,n,n,7,n,n,n,39,n,n,n,24,n,n,n,6,n,n,n,29,n,n,n,18,n,n,n,7,n,n,n
2024-08-01 16:30:00,30,n,n,n,18,n,n,n,12,n,n,n,31.7,n,n,n,23,n,n,n,9,n,n,n,31,n,n,n,n,n,n,n,n,n,n,n,27,n,n,n,17,n,n,n,5,n,n,n
2024-08-01 17:30:00,42,n,n,n,22,n,n,n,8,n,n,n,42.6,n,n,n,33,n,n,n,17,n,n,n,44,n,n,n,28,n,n,n,9,n,n,n,50,n,n,n,23,n,n,n,8,n,n,n
2024-08-01 18:30:00,121,n,n,n,63,n,n,n,12,n,n,n,73.8,n,n,n,48,n,n,n,11,n,n,n,87,n,n,n,42,n,n,n,13,n,n,n,50,n,n,n,29,n,n,n,8,n,n,n
2024-08-01 19:30:00,79,n,n,n,38,n,n,n,12,n,n,n,66.1,n,n,n,48,n,n,n,13,n,n,n,167,n,n,n,56,n,n,n,15,n,n,n,85,n,n,n,47,n,n,n,19,n,n,n
2024-08-01 20:30:00,83,n,n,n,50,n,n,n,13,n,n,n,82.5,n,n,n,58,n,n,n,17,n,n,n,72,n,n,n,36,n,n,n,20,n,n,n,65,n,n,n,35,n,n,n,13,n,n,n
2024-08-01 21:30:00,59,n,n,n,38,n,n,n,19,n,n,n,65.7,n,n,n,55,n,n,n,20,n,n,n,69,n,n,n,36,n,n,n,15,n,n,n,62,n,n,n,42,n,n,n,17,n,n,n
2024-08-01 22:30:00,71,n,n,n,38,n,n,n,14,n,n,n,66.6,n,n,n,50,n,n,n,16,n,n,n,51,n,n,n,28,n,n,n,12,n,n,n,36,n,n,n,23,n,n,n,7,n,n,n
2024-08-01 23:30:00,51,n,n,n,38,n,n,n,16,n,n,n,49.9,n,n,n,38,n,n,n,13,n,n,n,48,n,n,n,33,n,n,n,14,n,n,n,45,n,n,n,28,n,n,n,13,n,n,n
2024-08-02 00:30:00,47,n,n,n,28,n,n,n,17,n,n,n,46,n,n,n,36,n,n,n,14,n,n,n,42,n,n,n,31,n,n,n,10,n,n,n,43,n,n,n,23,n,n,n,13,n,n,n
2024-08-02 01:30:00,36,n,n,n,25,n,n,n,14,n,n,n,41.9,n,n,n,33,n,n,n,17,n,n,n,40,n,n,n,27,n,n,n,14,n,n,n,53,n,n,n,36,n,n,n,13,n,n,n
2024-08-02 02:30:00,44,n,n,n,27,n,n,n,13,n,n,n,50.4,n,n,n,30,n,n,n,14,n,n,n,33,n,n,n,27,n,n,n,12,n,n,n,53,n,n,n,33,n,n,n,11,n,n,n
2024-08-02 03:30:00,36,n,n,n,24,n,n,n,12,n,n,n,38.8,n,n,n,33,n,n,n,13,n,n,n,32,n,n,n,24,n,n,n,11,n,n,n,49,n,n,n,35,n,n,n,11,n,n,n
