n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2022-12-01 09:30:00,15.1,n,n,n,4.4,n,n,n,4.8,n,n,n,15.3,n,n,n,11,n,n,n,7,n,n,n,63,n,n,n,8,n,n,n,1.8,n,n,n,20.7,n,n,n,9,n,n,n,5,n,n,n
2022-12-01 10:30:00,15.5,n,n,n,6.3,n,n,n,7.2,n,n,n,15.5,n,n,n,7,n,n,n,7,n,n,n,27.1,n,n,n,12.5,n,n,n,5.2,n,n,n,32.6,n,n,n,22,n,n,n,7,n,n,n
2022-12-01 11:30:00,12.9,n,n,n,6.9,n,n,n,7.6,n,n,n,15.4,n,n,n,3,n,n,n,7,n,n,n,13.7,n,n,n,5,n,n,n,0.5,n,n,n,35.4,n,n,n,9,n,n,n,6,n,n,n
2022-12-01 12:00:00,n,n,16.5,VM,n,n,5,VM,n,n,5.3,VM,n,n,13.4,VM,n,n,7.2,VM,n,n,6.9,VM,n,n,18.2,VM,n,n,8.3,VM,n,n,2.2,VM,n,n,20.8,VM,n,n,10.5,VM,n,n,4.1,VM
2022-12-01 12:30:00,12.7,n,n,n,3.7,n,n,n,4.8,n,n,n,13.9,n,n,n,2,n,n,n,7,n,n,n,21,n,n,n,6.9,n,n,n,0.9,n,n,n,17.8,n,n,n,6,n,n,n,2,n,n,n
2022-12-01 13:30:00,14.3,n,n,n,6,n,n,n,6,n,n,n,10.9,n,n,n,2,n,n,n,5,n,n,n,n,n,n,n,4.4,n,n,n,0.2,n,n,n,12.5,n,n,n,9,n,n,n,3,n,n,n
2022-12-01 14:30:00,23.8,n,n,n,5,n,n,n,5,n,n,n,13.5,n,n,n,2,n,n,n,3,n,n,n,11,n,n,n,9.4,n,n,n,1.8,n,n,n,71.9,n,n,n,38,n,n,n,8,n,n,n
2022-12-01 15:30:00,26.9,n,n,n,7.2,n,n,n,7.3,n,n,n,15.9,n,n,n,6,n,n,n,5,n,n,n,16.1,n,n,n,11.5,n,n,n,2.6,n,n,n,36.5,n,n,n,13,n,n,n,6,n,n,n
2022-12-01 16:30:00,33.4,n,n,n,7.8,n,n,n,8.3,n,n,n,20.9,n,n,n,7,n,n,n,7,n,n,n,19.5,n,n,n,14.3,n,n,n,5.4,n,n,n,31.6,n,n,n,11,n,n,n,6,n,n,n
2022-12-01 17:30:00,27.7,n,n,n,4.4,n,n,n,4.6,n,n,n,18.5,n,n,n,7,n,n,n,13,n,n,n,24.3,n,n,n,11,n,n,n,3.8,n,n,n,19.6,n,n,n,14,n,n,n,6,n,n,n
2022-12-01 18:30:00,16.1,n,n,n,4.8,n,n,n,5,n,n,n,14.2,n,n,n,7,n,n,n,11,n,n,n,8.2,n,n,n,7,n,n,n,1.6,n,n,n,20.6,n,n,n,13,n,n,n,2,n,n,n
2022-12-01 19:30:00,15.5,n,n,n,5.3,n,n,n,5.6,n,n,n,13.3,n,n,n,5,n,n,n,7,n,n,n,12.2,n,n,n,7.6,n,n,n,2.3,n,n,n,17.3,n,n,n,12,n,n,n,3,n,n,n
2022-12-01 20:30:00,10.3,n,n,n,6.1,n,n,n,6.1,n,n,n,13.3,n,n,n,8,n,n,n,7,n,n,n,22.1,n,n,n,13.4,n,n,n,4.7,n,n,n,26.1,n,n,n,8,n,n,n,5,n,n,n
2022-12-01 21:30:00,25.7,n,n,n,9,n,n,n,8.7,n,n,n,19.4,n,n,n,16,n,n,n,5,n,n,n,24.4,n,n,n,14.3,n,n,n,6,n,n,n,33.6,n,n,n,17,n,n,n,5,n,n,n
2022-12-01 22:30:00,13.8,n,n,n,1.2,n,n,n,2.5,n,n,n,8.2,n,n,n,8,n,n,n,6,n,n,n,10.4,n,n,n,3.5,n,n,n,0.4,n,n,n,8.1,n,n,n,5,n,n,n,3,n,n,n
2022-12-01 23:30:00,7.2,n,n,n,n,n,n,n,n,n,n,n,10.2,n,n,n,7,n,n,n,2,n,n,n,11,n,n,n,6.1,n,n,n,0.5,n,n,n,8.9,n,n,n,5,n,n,n,6,n,n,n
2022-12-02 00:30:00,16.6,n,n,n,1.6,n,n,n,1.5,n,n,n,11.8,n,n,n,7,n,n,n,2,n,n,n,13.7,n,n,n,7.4,n,n,n,0.8,n,n,n,9.8,n,n,n,5,n,n,n,3,n,n,n
2022-12-02 01:30:00,17.9,n,n,n,7.3,n,n,n,7.7,n,n,n,10.6,n,n,n,7,n,n,n,3,n,n,n,12.4,n,n,n,8.9,n,n,n,2,n,n,n,10.4,n,n,n,3,n,n,n,1,n,n,n
2022-12-02 02:30:00,16.3,n,n,n,7,n,n,n,6.8,n,n,n,8,n,n,n,5,n,n,n,3,n,n,n,11,n,n,n,9.4,n,n,n,3.2,n,n,n,16.9,n,n,n,5,n,n,n,2,n,n,n
2022-12-02 03:30:00,13.2,n,n,n,n,n,n,n,n,n,n,n,7.7,n,n,n,3,n,n,n,3,n,n,n,8.7,n,n,n,7.4,n,n,n,2.4,n,n,n,13.5,n,n,n,6,n,n,n,7,n,n,n
2022-12-02 04:30:00,12.7,n,n,n,n,n,n,n,n,n,n,n,8.3,n,n,n,2,n,n,n,7,n,n,n,9.9,n,n,n,7.7,n,n,n,3,n,n,n,11.7,n,n,n,6,n,n,n,5,n,n,n
2022-12-02 05:30:00,12.9,n,n,n,n,n,n,n,n,n,n,n,8.6,n,n,n,n,n,n,n,7,n,n,n,9.9,n,n,n,7.9,n,n,n,3,n,n,n,12.7,n,n,n,3,n,n,n,2,n,n,n
