2023-06-01 02:30:00,n,28.3,n,n,n,16,n,n,n,3,n,n,n,0.5,n,n,n,210.2,n,n,n,15.6,n,n,n,12,n,n,n,7,n,n,n,0.6,n,n,n,204.4,n,n,n,11.2,n,n,n,6.9,n,n,n,4.1,n,n,n,0.6,n,n,n,179.3,n,n,n,21.5,n,n,n,9,n,n,n,5,n,n,n,0.9,n,n,n,198.4,n,n,n
2023-06-01 03:30:00,n,22.4,n,n,n,8,n,n,n,1,n,n,n,0.5,n,n,n,242.7,n,n,n,13.4,n,n,n,11,n,n,n,5,n,n,n,0.6,n,n,n,148,n,n,n,9.9,n,n,n,5.8,n,n,n,2.9,n,n,n,0.6,n,n,n,164.9,n,n,n,24.1,n,n,n,11,n,n,n,5,n,n,n,0.9,n,n,n,133.6,n,n,n
2023-06-01 04:30:00,n,19.5,n,n,n,18,n,n,n,n,n,n,n,0.5,n,n,n,210.8,n,n,n,14.6,n,n,n,9,n,n,n,5,n,n,n,0.5,n,n,n,165.9,n,n,n,7.9,n,n,n,5.8,n,n,n,2.6,n,n,n,0.5,n,n,n,126.4,n,n,n,20.2,n,n,n,14,n,n,n,3,n,n,n,1.1,n,n,n,145.5,n,n,n
2023-06-01 05:30:00,n,18.7,n,n,n,11,n,n,n,n,n,n,n,0.5,n,n,n,129.7,n,n,n,16.4,n,n,n,11,n,n,n,5,n,n,n,0.4,n,n,n,219.2,n,n,n,14.9,n,n,n,6,n,n,n,3,n,n,n,0.5,n,n,n,190.7,n,n,n,16.2,n,n,n,9,n,n,n,8,n,n,n,1.1,n,n,n,138.3,n,n,n
2023-06-01 06:30:00,n,37.3,n,n,n,24,n,n,n,2,n,n,n,0.5,n,n,n,232.1,n,n,n,29.4,n,n,n,19,n,n,n,5,n,n,n,0.5,n,n,n,220.9,n,n,n,34.7,n,n,n,12.2,n,n,n,9,n,n,n,0.5,n,n,n,346.8,n,n,n,19,n,n,n,11,n,n,n,6,n,n,n,0.7,n,n,n,167.7,n,n,n
2023-06-01 07:30:00,n,43.2,n,n,n,20,n,n,n,7,n,n,n,0.4,n,n,n,220.6,n,n,n,47,n,n,n,25,n,n,n,n,n,n,n,0.5,n,n,n,182.4,n,n,n,32.1,n,n,n,15.4,n,n,n,11.3,n,n,n,0.4,n,n,n,80.7,n,n,n,55.2,n,n,n,31,n,n,n,6,n,n,n,0.4,n,n,n,289.5,n,n,n
2023-06-01 08:30:00,n,52.4,n,n,n,36,n,n,n,7,n,n,n,0.6,n,n,n,236.4,n,n,n,56.3,n,n,n,30,n,n,n,3,n,n,n,0.6,n,n,n,168.2,n,n,n,28.4,n,n,n,21.6,n,n,n,12.8,n,n,n,0.6,n,n,n,120.9,n,n,n,94.9,n,n,n,38,n,n,n,7,n,n,n,0.5,n,n,n,253.1,n,n,n
2023-06-01 09:30:00,n,65.1,n,n,n,39,n,n,n,6,n,n,n,0.7,n,n,n,164.5,n,n,n,59.1,n,n,n,38,n,n,n,8,n,n,n,0.8,n,n,n,111,n,n,n,15.2,n,n,n,25.2,n,n,n,7.7,n,n,n,1,n,n,n,96.6,n,n,n,83.4,n,n,n,34,n,n,n,11,n,n,n,1.1,n,n,n,34.5,n,n,n
2023-06-01 10:30:00,n,60.1,n,n,n,31,n,n,n,5,n,n,n,0.7,n,n,n,77,n,n,n,71.5,n,n,n,41,n,n,n,8,n,n,n,0.9,n,n,n,315.9,n,n,n,15.6,n,n,n,20.2,n,n,n,9.1,n,n,n,1.1,n,n,n,23.2,n,n,n,74.4,n,n,n,25,n,n,n,8,n,n,n,1.4,n,n,n,112.8,n,n,n
2023-06-01 11:30:00,n,53.3,n,n,n,30,n,n,n,6,n,n,n,0.9,n,n,n,243.6,n,n,n,42.2,n,n,n,31,n,n,n,9,n,n,n,1,n,n,n,298.7,n,n,n,13.5,n,n,n,15.9,n,n,n,7.2,n,n,n,1.6,n,n,n,332.9,n,n,n,58.6,n,n,n,30,n,n,n,9,n,n,n,1.1,n,n,n,346.7,n,n,n
2023-06-01 12:00:00,n,n,n,51.4,VM,n,n,30.8,VM,n,n,6.5,VM,n,n,0.8,VM,n,n,222.9,VM,n,n,38.8,VM,n,n,23.5,VM,n,n,8.8,VM,n,n,0.8,VM,n,n,216,VM,n,n,21.9,VM,n,n,14.6,VM,n,n,11.3,VM,n,n,1.1,VM,n,n,244.1,VM,n,n,59.6,VM,n,n,31.1,VM,n,n,12.3,VM,n,n,1.2,VM,n,n,216.3,VM
2023-06-01 12:30:00,n,53.6,n,n,n,39,n,n,n,2,n,n,n,1.1,n,n,n,202.5,n,n,n,26.1,n,n,n,23,n,n,n,9,n,n,n,1.7,n,n,n,258,n,n,n,10.9,n,n,n,10.9,n,n,n,4.9,n,n,n,2.5,n,n,n,328.4,n,n,n,68.6,n,n,n,41,n,n,n,9,n,n,n,2.1,n,n,n,314.9,n,n,n
