n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2024-07-01 11:30:00,108,n,n,n,39,n,n,n,11,n,n,n,27.6,n,n,n,33,n,n,n,12,n,n,n,65,n,n,n,36,n,n,n,14,n,n,n,74,n,n,n,35,n,n,n,16,n,n,n
2024-07-01 12:00:00,n,n,93.5,VM,n,n,52.6,VM,n,n,19.2,VM,n,n,60.8,VM,n,n,47,VM,n,n,18.7,VM,n,n,66.2,VM,n,n,44.9,VM,n,n,22.1,VM,n,n,85.2,VM,n,n,48,VM,n,n,24.8,VM
2024-07-01 12:30:00,66,n,n,n,38,n,n,n,13,n,n,n,29.4,n,n,n,33,n,n,n,14,n,n,n,60,n,n,n,36,n,n,n,13,n,n,n,70,n,n,n,40,n,n,n,18,n,n,n
2024-07-01 13:30:00,66,n,n,n,36,n,n,n,13,n,n,n,44.1,n,n,n,41,n,n,n,13,n,n,n,52,n,n,n,33,n,n,n,19,n,n,n,68,n,n,n,41,n,n,n,18,n,n,n
2024-07-01 14:30:00,71,n,n,n,40,n,n,n,12,n,n,n,29.6,n,n,n,30,n,n,n,18,n,n,n,55,n,n,n,41,n,n,n,30,n,n,n,90,n,n,n,47,n,n,n,25,n,n,n
2024-07-01 15:30:00,93,n,n,n,41,n,n,n,14,n,n,n,48.3,n,n,n,33,n,n,n,13,n,n,n,44,n,n,n,38,n,n,n,17,n,n,n,90,n,n,n,44,n,n,n,18,n,n,n
2024-07-01 16:30:00,96,n,n,n,61,n,n,n,20,n,n,n,54.1,n,n,n,31,n,n,n,17,n,n,n,48,n,n,n,36,n,n,n,17,n,n,n,211,n,n,n,88,n,n,n,25,n,n,n
2024-07-01 17:30:00,174,n,n,n,79,n,n,n,25,n,n,n,65.2,n,n,n,51,n,n,n,23,n,n,n,62,n,n,n,46,n,n,n,19,n,n,n,87,n,n,n,52,n,n,n,19,n,n,n
2024-07-01 18:30:00,106,n,n,n,63,n,n,n,22,n,n,n,90.9,n,n,n,75,n,n,n,n,n,n,n,96,n,n,n,59,n,n,n,22,n,n,n,72,n,n,n,38,n,n,n,22,n,n,n
2024-07-01 19:30:00,108,n,n,n,42,n,n,n,14,n,n,n,62,n,n,n,36,n,n,n,14,n,n,n,105,n,n,n,57,n,n,n,23,n,n,n,68,n,n,n,40,n,n,n,20,n,n,n
2024-07-01 20:30:00,134,n,n,n,80,n,n,n,23,n,n,n,53,n,n,n,45,n,n,n,17,n,n,n,81,n,n,n,47,n,n,n,19,n,n,n,85,n,n,n,50,n,n,n,33,n,n,n
2024-07-01 21:30:00,103,n,n,n,63,n,n,n,23,n,n,n,59.4,n,n,n,44,n,n,n,17,n,n,n,72,n,n,n,50,n,n,n,24,n,n,n,100,n,n,n,62,n,n,n,38,n,n,n
2024-07-01 22:30:00,93,n,n,n,62,n,n,n,22,n,n,n,68.2,n,n,n,55,n,n,n,23,n,n,n,65,n,n,n,51,n,n,n,32,n,n,n,84,n,n,n,57,n,n,n,34,n,n,n
2024-07-01 23:30:00,132,n,n,n,77,n,n,n,18,n,n,n,66.1,n,n,n,45,n,n,n,17,n,n,n,60,n,n,n,41,n,n,n,21,n,n,n,82,n,n,n,55,n,n,n,30,n,n,n
2024-07-02 00:30:00,80,n,n,n,52,n,n,n,23,n,n,n,57.2,n,n,n,50,n,n,n,24,n,n,n,46,n,n,n,39,n,n,n,19,n,n,n,60,n,n,n,38,n,n,n,27,n,n,n
2024-07-02 01:30:00,80,n,n,n,57,n,n,n,20,n,n,n,49.2,n,n,n,41,n,n,n,18,n,n,n,54,n,n,n,48,n,n,n,24,n,n,n,73,n,n,n,46,n,n,n,28,n,n,n
2024-07-02 02:30:00,98,n,n,n,67,n,n,n,18,n,n,n,57.9,n,n,n,46,n,n,n,13,n,n,n,52,n,n,n,44,n,n,n,18,n,n,n,73,n,n,n,42,n,n,n,25,n,n,n
