n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-05-01 09:30:00,23.2,n,n,n,12,n,n,n,2,n,n,n,14.7,n,n,n,6,n,n,n,7,n,n,n,3.8,n,n,n,16.6,n,n,n,4.2,n,n,n,13.2,n,n,n,6,n,n,n,7,n,n,n
2023-05-01 10:30:00,21.6,n,n,n,13,n,n,n,2,n,n,n,7.9,n,n,n,9,n,n,n,5,n,n,n,7.6,n,n,n,6.2,n,n,n,1.7,n,n,n,3.8,n,n,n,9,n,n,n,3,n,n,n
2023-05-01 11:30:00,12.4,n,n,n,8,n,n,n,2,n,n,n,8.7,n,n,n,6,n,n,n,3,n,n,n,7,n,n,n,8.9,n,n,n,n,n,n,n,0.9,n,n,n,6,n,n,n,1,n,n,n
2023-05-01 12:00:00,n,n,23.4,VM,n,n,14.7,VM,n,n,3.8,VM,n,n,18,VM,n,n,13.9,VM,n,n,5.7,VM,n,n,11.2,VM,n,n,7.8,VM,n,n,3.6,VM,n,n,15.8,VM,n,n,12.1,VM,n,n,5.5,VM
2023-05-01 12:30:00,14.8,n,n,n,6,n,n,n,n,n,n,n,14,n,n,n,7,n,n,n,3,n,n,n,n,n,n,n,4.7,n,n,n,n,n,n,n,2.4,n,n,n,6,n,n,n,1,n,n,n
2023-05-01 13:30:00,16.9,n,n,n,9,n,n,n,1,n,n,n,13.8,n,n,n,11,n,n,n,6,n,n,n,6,n,n,n,7.7,n,n,n,1.3,n,n,n,1.1,n,n,n,6,n,n,n,1,n,n,n
2023-05-01 14:30:00,17.4,n,n,n,13,n,n,n,n,n,n,n,14.1,n,n,n,8,n,n,n,6,n,n,n,3.2,n,n,n,6.2,n,n,n,1.3,n,n,n,n,n,n,n,8,n,n,n,n,n,n,n
2023-05-01 15:30:00,24,n,n,n,9,n,n,n,n,n,n,n,36,n,n,n,8,n,n,n,2,n,n,n,21.9,n,n,n,n,n,n,n,5.1,n,n,n,15.6,n,n,n,9,n,n,n,2,n,n,n
2023-05-01 16:30:00,27,n,n,n,27,n,n,n,2,n,n,n,11.9,n,n,n,17,n,n,n,9,n,n,n,2.5,n,n,n,1.1,n,n,n,5.6,n,n,n,30.8,n,n,n,34,n,n,n,25,n,n,n
2023-05-01 17:30:00,26.4,n,n,n,20,n,n,n,2,n,n,n,1.6,n,n,n,11,n,n,n,7,n,n,n,n,n,n,n,10.5,n,n,n,1,n,n,n,n,n,n,n,17,n,n,n,11,n,n,n
