n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n
n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n
n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-04-01 09:30:00,81.9,n,n,n,42,n,n,n,12,n,n,n,46.7,n,n,n,27,n,n,n,9,n,n,n,22.8,n,n,n,18.7,n,n,n,10.5,n,n,n,45.6,n,n,n,27,n,n,n,11,n,n,n
2023-04-01 10:30:00,56.7,n,n,n,23,n,n,n,7,n,n,n,34.8,n,n,n,25,n,n,n,8,n,n,n,26,n,n,n,18.5,n,n,n,10,n,n,n,42.6,n,n,n,24,n,n,n,7,n,n,n
2023-04-01 11:30:00,38.3,n,n,n,24,n,n,n,8,n,n,n,72.9,n,n,n,24,n,n,n,8,n,n,n,39.5,n,n,n,25.4,n,n,n,13.5,n,n,n,54.3,n,n,n,34,n,n,n,9,n,n,n
2023-04-01 12:00:00,n,n,80.7,VM,n,n,46.5,VM,n,n,15,VM,n,n,64,VM,n,n,43.3,VM,n,n,11.8,VM,n,n,37.6,VM,n,n,22.4,VM,n,n,16,VM,n,n,75.1,VM,n,n,38.1,VM,n,n,14.3,VM
2023-04-01 12:30:00,58.8,n,n,n,35,n,n,n,7,n,n,n,45.1,n,n,n,36,n,n,n,7,n,n,n,31.3,n,n,n,21.4,n,n,n,12.3,n,n,n,78.1,n,n,n,31,n,n,n,11,n,n,n
2023-04-01 13:30:00,85.7,n,n,n,51,n,n,n,8,n,n,n,48.1,n,n,n,35,n,n,n,8,n,n,n,32.9,n,n,n,21.8,n,n,n,12.8,n,n,n,70.9,n,n,n,28,n,n,n,12,n,n,n
2023-04-01 14:30:00,65.8,n,n,n,34,n,n,n,7,n,n,n,62.8,n,n,n,34,n,n,n,7,n,n,n,23.2,n,n,n,19.9,n,n,n,12.3,n,n,n,69.5,n,n,n,33,n,n,n,7,n,n,n
2023-04-01 15:30:00,61.2,n,n,n,44,n,n,n,7,n,n,n,72.1,n,n,n,44,n,n,n,5,n,n,n,22.1,n,n,n,18.4,n,n,n,12,n,n,n,77.4,n,n,n,36,n,n,n,8,n,n,n
2023-04-01 16:30:00,59.2,n,n,n,33,n,n,n,12,n,n,n,59.2,n,n,n,35,n,n,n,5,n,n,n,46,n,n,n,23.8,n,n,n,15.2,n,n,n,83.4,n,n,n,33,n,n,n,16,n,n,n
2023-04-01 17:30:00,70.2,n,n,n,55,n,n,n,16,n,n,n,103.8,n,n,n,61,n,n,n,9,n,n,n,45.2,n,n,n,31.8,n,n,n,20.2,n,n,n,92.2,n,n,n,34,n,n,n,18,n,n,n
2023-04-01 18:30:00,139.7,n,n,n,70,n,n,n,16,n,n,n,123.6,n,n,n,74,n,n,n,11,n,n,n,51.7,n,n,n,31.5,n,n,n,23.5,n,n,n,88.4,n,n,n,40,n,n,n,18,n,n,n
2023-04-01 19:30:00,105.5,n,n,n,47,n,n,n,19,n,n,n,61.1,n,n,n,35,n,n,n,14,n,n,n,57.1,n,n,n,32.8,n,n,n,26,n,n,n,78.3,n,n,n,28,n,n,n,17,n,n,n
2023-04-01 20:30:00,68.7,n,n,n,29,n,n,n,17,n,n,n,58.1,n,n,n,41,n,n,n,11,n,n,n,58.2,n,n,n,31.7,n,n,n,26.7,n,n,n,72.8,n,n,n,29,n,n,n,9,n,n,n
2023-04-01 21:30:00,84.4,n,n,n,66,n,n,n,16,n,n,n,47.5,n,n,n,31,n,n,n,13,n,n,n,44.5,n,n,n,25.4,n,n,n,21.8,n,n,n,71.7,n,n,n,46,n,n,n,24,n,n,n
