Data de Medição,VALE - ITABIRA,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
2025-03-01 14:30:00,3,n,n,n,5,n,n,n,8,n,n,n,22,n,n,n,9,n,n,n,3,n,n,n,13,n,n,n,7,n,n,n,7,n,n,n,7,n,n,n,4985,IE,n,n,3,n,n,n
2025-03-01 15:30:00,8,n,n,n,7,n,n,n,7,n,n,n,25,n,n,n,6,n,n,n,6,n,n,n,12,n,n,n,17,n,n,n,9,n,n,n,6,n,n,n,4985,IE,n,n,12,n,n,n
2025-03-01 16:30:00,8,n,n,n,12,n,n,n,7,n,n,n,20,n,n,n,2,n,n,n,4985,IE,n,n,15,n,n,n,11,n,n,n,8,n,n,n,18,n,n,n,4985,IE,n,n,7,n,n,n
2025-03-01 17:30:00,11,n,n,n,10,n,n,n,6,n,n,n,33,n,n,n,5,n,n,n,6,n,n,n,17,n,n,n,9,n,n,n,8,n,n,n,22,n,n,n,4985,IE,n,n,3,n,n,n
2025-03-01 18:30:00,19,n,n,n,11,n,n,n,8,n,n,n,36,n,n,n,7,n,n,n,7,n,n,n,98,n,n,n,61,n,n,n,23,n,n,n,13,n,n,n,4985,IE,n,n,2,n,n,n
2025-03-01 19:30:00,23,n,n,n,13,n,n,n,17,n,n,n,44,n,n,n,11,n,n,n,11,n,n,n,80,n,n,n,36,n,n,n,12,n,n,n,29,n,n,n,4985,IE,n,n,14,n,n,n
2025-03-01 20:30:00,143,n,n,n,66,n,n,n,3,n,n,n,85,n,n,n,33,n,n,n,12,n,n,n,54,n,n,n,34,n,n,n,12,n,n,n,39,n,n,n,4985,IE,n,n,11,n,n,n
2025-03-01 21:30:00,111,n,n,n,50,n,n,n,8,n,n,n,77,n,n,n,31,n,n,n,13,n,n,n,42,n,n,n,29,n,n,n,22,n,n,n,42,n,n,n,4985,IE,n,n,16,n,n,n
2025-03-01 22:30:00,41,n,n,n,24,n,n,n,17,n,n,n,59,n,n,n,23,n,n,n,18,n,n,n,34,n,n,n,28,n,n,n,17,n,n,n,29,n,n,n,4985,IE,n,n,12,n,n,n
2025-03-01 23:30:00,39,n,n,n,22,n,n,n,17,n,n,n,48,n,n,n,22,n,n,n,16,n,n,n,30,n,n,n,28,n,n,n,18,n,n,n,18,n,n,n,4985,IE,n,n,8,n,n,n
