n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n
n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n
n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2022-10-01 09:30:00,17.9,n,n,n,4.2,n,n,n,3.2,n,n,n,8,n,n,n,7,n,n,n,2,n,n,n,11.6,n,n,n,5.1,n,n,n,n,n,n,n,13,n,n,n,9,n,n,n,1,n,n,n
2022-10-01 10:30:00,16.6,n,n,n,7.6,n,n,n,6.3,n,n,n,11.6,n,n,n,1,n,n,n,5,n,n,n,18.3,n,n,n,9,n,n,n,3.5,n,n,n,20.2,n,n,n,9,n,n,n,n,n,n,n
2022-10-01 11:30:00,15,n,n,n,5.6,n,n,n,4.3,n,n,n,10.4,n,n,n,6,n,n,n,5,n,n,n,18.8,n,n,n,8.4,n,n,n,2.2,n,n,n,16.1,n,n,n,8,n,n,n,3,n,n,n
2022-10-01 12:00:00,n,n,25.6,VM,n,n,8.7,VM,n,n,8,VM,n,n,13.8,VM,n,n,11.6,VM,n,n,5,VM,n,n,37.2,VM,n,n,14.2,VM,n,n,6.3,VM,n,n,23.4,VM,n,n,11.6,VM,n,n,4.4,VM
2022-10-01 12:30:00,11.5,n,n,n,7,n,n,n,6.1,n,n,n,9.7,n,n,n,6,n,n,n,3,n,n,n,21.2,n,n,n,7.2,n,n,n,1.3,n,n,n,14.5,n,n,n,11,n,n,n,1,n,n,n
2022-10-01 13:30:00,12.3,n,n,n,9.9,n,n,n,9,n,n,n,10,n,n,n,7,n,n,n,5,n,n,n,34.3,n,n,n,11.2,n,n,n,3.4,n,n,n,13.1,n,n,n,8,n,n,n,1,n,n,n
2022-10-01 14:30:00,9.7,n,n,n,1.7,n,n,n,1.1,n,n,n,11.3,n,n,n,6,n,n,n,3,n,n,n,32.4,n,n,n,8.1,n,n,n,1.1,n,n,n,15,n,n,n,7,n,n,n,1,n,n,n
2022-10-01 15:30:00,12.6,n,n,n,7.1,n,n,n,6.4,n,n,n,13.2,n,n,n,7,n,n,n,5,n,n,n,30.8,n,n,n,11,n,n,n,3.5,n,n,n,15.8,n,n,n,5,n,n,n,n,n,n,n
2022-10-01 16:30:00,16.5,n,n,n,7,n,n,n,6.3,n,n,n,16.4,n,n,n,5,n,n,n,5,n,n,n,28.7,n,n,n,12.4,n,n,n,4.1,n,n,n,20.2,n,n,n,8,n,n,n,1,n,n,n
2022-10-01 17:30:00,25,n,n,n,7,n,n,n,6.2,n,n,n,19.9,n,n,n,14,n,n,n,5,n,n,n,63.6,n,n,n,30.7,n,n,n,20.7,n,n,n,23,n,n,n,14,n,n,n,5,n,n,n
2022-10-01 18:30:00,29.7,n,n,n,8.9,n,n,n,7.9,n,n,n,21.5,n,n,n,16,n,n,n,7,n,n,n,79.7,n,n,n,34.4,n,n,n,21.8,n,n,n,29,n,n,n,11,n,n,n,5,n,n,n
2022-10-01 19:30:00,40.5,n,n,n,11,n,n,n,10.4,n,n,n,23,n,n,n,13,n,n,n,7,n,n,n,124.7,n,n,n,35.7,n,n,n,15,n,n,n,34.2,n,n,n,22,n,n,n,8,n,n,n
2022-10-01 20:30:00,58.5,n,n,n,12.5,n,n,n,10.7,n,n,n,21.8,n,n,n,19,n,n,n,7,n,n,n,78.3,n,n,n,26.5,n,n,n,11.2,n,n,n,46.4,n,n,n,23,n,n,n,7,n,n,n
2022-10-01 21:30:00,62.7,n,n,n,19.7,n,n,n,16.5,n,n,n,26,n,n,n,29,n,n,n,9,n,n,n,92.4,n,n,n,25.3,n,n,n,9.4,n,n,n,54.9,n,n,n,20,n,n,n,12,n,n,n
2022-10-01 22:30:00,56.4,n,n,n,18.7,n,n,n,16.3,n,n,n,25,n,n,n,36,n,n,n,12,n,n,n,62.4,n,n,n,24.4,n,n,n,11.4,n,n,n,50,n,n,n,24,n,n,n,9,n,n,n
2022-10-01 23:30:00,51.3,n,n,n,19.2,n,n,n,18.1,n,n,n,24.6,n,n,n,30,n,n,n,8,n,n,n,64.1,n,n,n,21.9,n,n,n,9.7,n,n,n,52.7,n,n,n,27,n,n,n,13,n,n,n
2022-10-02 00:30:00,52.6,n,n,n,15.2,n,n,n,13.2,n,n,n,21.7,n,n,n,28,n,n,n,11,n,n,n,65,n,n,n,20.5,n,n,n,8.2,n,n,n,56.6,n,n,n,25,n,n,n,8,n,n,n
2022-10-02 01:30:00,37.6,n,n,n,9.6,n,n,n,8.1,n,n,n,27.1,n,n,n,29,n,n,n,12,n,n,n,54.2,n,n,n,20.6,n,n,n,8.1,n,n,n,46.9,n,n,n,24,n,n,n,8,n,n,n
2022-10-02 02:30:00,37.3,n,n,n,12.3,n,n,n,11,n,n,n,20,n,n,n,24,n,n,n,9,n,n,n,48.9,n,n,n,19.1,n,n,n,7.9,n,n,n,33.9,n,n,n,20,n,n,n,6,n,n,n
2022-10-02 03:30:00,29.5,n,n,n,10.9,n,n,n,9,n,n,n,10.1,n,n,n,16,n,n,n,8,n,n,n,35.4,n,n,n,17.5,n,n,n,7.7,n,n,n,29.7,n,n,n,13,n,n,n,6,n,n,n
2022-10-02 04:30:00,32.9,n,n,n,10.3,n,n,n,9.1,n,n,n,14.1,n,n,n,17,n,n,n,6,n,n,n,22.9,n,n,n,14,n,n,n,7.2,n,n,n,29.1,n,n,n,14,n,n,n,7,n,n,n
2022-10-02 05:30:00,37.3,n,n,n,9.9,n,n,n,9.2,n,n,n,16.6,n,n,n,13,n,n,n,7,n,n,n,35.1,n,n,n,14.9,n,n,n,6.2,n,n,n,29.1,n,n,n,13,n,n,n,7,n,n,n
2022-10-02 06:30:00,42.1,n,n,n,6.5,n,n,n,5.4,n,n,n,15.3,n,n,n,22,n,n,n,5,n,n,n,38.1,n,n,n,16.2,n,n,n,5.9,n,n,n,33,n,n,n,18,n,n,n,6,n,n,n
