2022-01-01 00:30:00,34.4,n,n,n,33,n,n,n,27.5,n,n,n,45.8,n,n,n,39.5,n,n,n,33,n,n,n,43.4,n,n,n,34.3,n,n,n,21.6,n,n,n,29.4,n,n,n,25,n,n,n,20.3,n,n,n,2022,janeiro
2022-01-01 01:30:00,34.8,n,n,n,35.3,n,n,n,29.2,n,n,n,41.5,n,n,n,44.5,n,n,n,36.3,n,n,n,29.6,n,n,n,23.7,n,n,n,10.4,n,n,n,23.3,n,n,n,20.7,n,n,n,16.3,n,n,n,2022,janeiro
2022-01-01 02:30:00,20.9,n,n,n,22.2,n,n,n,16.9,n,n,n,25.1,n,n,n,30.8,n,n,n,23.9,n,n,n,33.4,n,n,n,25.9,n,n,n,10.4,n,n,n,20.6,n,n,n,14.4,n,n,n,10.6,n,n,n,2022,janeiro
2022-01-01 03:30:00,17,n,n,n,19,n,n,n,13.5,n,n,n,22.5,n,n,n,25,n,n,n,17.1,n,n,n,26.1,n,n,n,21.5,n,n,n,6.9,n,n,n,18.4,n,n,n,12.7,n,n,n,8.4,n,n,n,2022,janeiro
2022-01-01 04:30:00,10,n,n,n,9.3,n,n,n,4.8,n,n,n,16.5,n,n,n,16.2,n,n,n,9.4,n,n,n,14.7,n,n,n,14.6,n,n,n,2.7,n,n,n,14.1,n,n,n,8.5,n,n,n,3.7,n,n,n,2022,janeiro
2022-01-01 05:30:00,5.9,n,n,n,7.2,n,n,n,2.7,n,n,n,13.1,n,n,n,9.1,n,n,n,3.7,n,n,n,12,n,n,n,9.8,n,n,n,0.6,n,n,n,8.3,n,n,n,6.1,n,n,n,3.9,n,n,n,2022,janeiro
2022-01-01 06:30:00,6,n,n,n,6.8,n,n,n,1.6,n,n,n,12,n,n,n,9.4,n,n,n,4.8,n,n,n,13.2,n,n,n,10,n,n,n,0.3,n,n,n,8.7,n,n,n,8.4,n,n,n,5.3,n,n,n,2022,janeiro
2022-01-01 07:30:00,7.6,n,n,n,8,n,n,n,2.7,n,n,n,12.1,n,n,n,6.6,n,n,n,1.6,n,n,n,7.7,n,n,n,8.8,n,n,n,0.3,n,n,n,8.7,n,n,n,4.3,n,n,n,1.8,n,n,n,2022,janeiro
2022-01-01 08:30:00,6.7,n,n,n,7.7,n,n,n,2.4,n,n,n,7.8,n,n,n,5.9,n,n,n,1.5,n,n,n,5.1,n,n,n,5.9,n,n,n,n,n,n,n,7.7,n,n,n,5.8,n,n,n,2.6,n,n,n,2022,janeiro
2022-01-01 09:30:00,7.2,n,n,n,8.6,n,n,n,3.6,n,n,n,9.5,n,n,n,5.8,n,n,n,2.4,n,n,n,5.3,n,n,n,6.2,n,n,n,n,n,n,n,7.3,n,n,n,5.9,n,n,n,1.7,n,n,n,2022,janeiro
