n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-11-01 10:30:00,37.6,n,n,n,22,n,n,n,6,n,n,n,24.6,n,n,n,13,n,n,n,5,n,n,n,27.8,n,n,n,17,n,n,n,3,n,n,n,10.9,n,n,n,2,n,n,n,n,n,n,n
2023-11-01 11:30:00,28.9,n,n,n,n,n,n,n,6,n,n,n,28.6,n,n,n,13,n,n,n,7,n,n,n,30.1,n,n,n,17,n,n,n,7,n,n,n,22.2,n,n,n,8,n,n,n,3,n,n,n
2023-11-01 12:00:00,n,n,27.2,VM,n,n,16.3,VM,n,n,6.7,VM,n,n,22.6,VM,n,n,11.8,VM,n,n,5.3,VM,n,n,32,VM,n,n,17.8,VM,n,n,5.5,VM,n,n,17.3,VM,n,n,8.8,VM,n,n,5.3,VM
2023-11-01 12:30:00,30.7,n,n,n,25,n,n,n,11,n,n,n,26.2,n,n,n,11,n,n,n,6,n,n,n,31.2,n,n,n,17,n,n,n,7,n,n,n,20.5,n,n,n,12,n,n,n,8,n,n,n
2023-11-01 13:30:00,43.1,n,n,n,20,n,n,n,11,n,n,n,30.8,n,n,n,11,n,n,n,5,n,n,n,32.4,n,n,n,17,n,n,n,3,n,n,n,23.6,n,n,n,11,n,n,n,6,n,n,n
2023-11-01 14:30:00,60.8,n,n,n,20,n,n,n,6,n,n,n,43.3,n,n,n,17,n,n,n,5,n,n,n,38.8,n,n,n,20,n,n,n,8,n,n,n,36,n,n,n,13,n,n,n,6,n,n,n
2023-11-01 15:30:00,24.1,n,n,n,17,n,n,n,6,n,n,n,25.9,n,n,n,19,n,n,n,9,n,n,n,32.4,n,n,n,20,n,n,n,9,n,n,n,33,n,n,n,16,n,n,n,6,n,n,n
2023-11-01 16:30:00,n,n,n,n,n,n,n,n,n,n,n,n,21.2,n,n,n,9,n,n,n,7,n,n,n,30.1,n,n,n,23,n,n,n,6,n,n,n,30.8,n,n,n,13,n,n,n,6,n,n,n
2023-11-01 17:30:00,30.5,n,n,n,18,n,n,n,3,n,n,n,37.4,n,n,n,17,n,n,n,8,n,n,n,62.6,n,n,n,27,n,n,n,9,n,n,n,21.4,n,n,n,13,n,n,n,8,n,n,n
2023-11-01 18:30:00,32.3,n,n,n,19,n,n,n,7,n,n,n,38.4,n,n,n,18,n,n,n,7,n,n,n,48.7,n,n,n,22,n,n,n,8,n,n,n,30.5,n,n,n,17,n,n,n,12,n,n,n
